序号,国家,出生时预期寿命（岁）,预期受教育年限（年）,平均受教育年限（年）,人均国民总收入（国际元/人）,等级
1,挪威,81.7,17.7,12.7,67614,1
2,瑞士,83.1,16,13.4,56364,1
3,美国,79.2,16.5,13.2,53245,1
4,英国,80.8,16.3,13.3,37931,1
5,韩国,82.1,16.6,12.2,34541,1
6,意大利,83.3,16.3,10.9,33573,1
7,乌拉圭,77.4,15.5,8.6,19148,2
8,马来西亚,74.9,13.1,10.1,24620,2
9,巴拿马,77.8,13,9.9,19470,2
10,土耳其,75.5,14.6,7.9,18705,2
11,墨西哥,77,13.3,8.6,16383,2
12,巴西,74.7,15.2,7.8,14145,2
13,秘鲁,74.8,13.4,9,11295,2
14,泰国,74.6,13.6,7.9,14519,2
15,印度尼西亚,69.1,12.9,7.9,10053,3
16,巴勒斯坦,73.1,12.8,8.9,5256,3
17,菲律宾,68.3,11.7,9.3,8395,3
18,南非,57.7,13,10.3,12087,3
19,印度,68.3,11.7,6.3,5663,3
20,巴基斯坦,66.4,8.1,5.1,5031,3
1,香港,84.2,15.7,11.6,54265,
2,中国,76,13.5,7.6,13345,
